Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Equity","5.57","207.41","15,182,400.00","3,148,981,584.00","3,148,981,584.00","Consumer Discretionary","BP41ZD1","US01609W1027","New York Stock Exchange Inc.","China","USD","USD","1.00"
"700","TENCENT HOLDINGS LTD","Equity","4.49","50.71","50,133,700.00","2,542,335,774.50","2,542,335,774.50","Communication","BMMV2K8","KYG875721634","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Equity","4.02","10.58","214,900,000.00","2,273,373,204.94","2,273,373,204.94","Information Technology","6889106","TW0002330008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"005930","SAMSUNG ELECTRONICS LTD","Equity","3.41","46.35","41,661,767.00","1,930,947,788.67","1,930,947,788.67","Information Technology","6771720","KR7005930003","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"939","CHINA CONSTRUCTION BANK CORP H","Equity","1.23","0.83","836,043,000.00","694,057,191.58","694,057,191.58","Financials","B0LMTQ3","CNE1000002H1","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"NPN","NASPERS LIMITED N LTD","Equity","1.09","160.30","3,863,053.00","619,241,026.56","619,241,026.56","Consumer Discretionary","6622691","ZAE000015889","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Equity","0.97","11.26","48,737,000.00","548,875,410.26","548,875,410.26","Financials","B01FLR7","CNE1000003X6","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"RELIANCE","RELIANCE INDUSTRIES LTD","Equity","0.81","18.32","24,957,385.00","457,232,844.88","457,232,844.88","Energy","6099626","INE002A01018","National Stock Exchange Of India","India","USD","INR","73.30"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Equity","0.76","29.90","14,402,767.00","430,604,367.19","430,604,367.19","Financials","6171900","INE001A01036","National Stock Exchange Of India","India","USD","INR","73.30"
"941","CHINA MOBILE LTD","Equity","0.74","7.81","53,745,000.00","419,888,216.74","419,888,216.74","Communication","6073556","HK0941009539","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Equity","0.70","0.70","565,716,000.00","394,643,248.60","394,643,248.60","Financials","B1G1QD8","CNE1000003G1","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"000660","SK HYNIX INC","Equity","0.65","77.64","4,754,105.00","369,096,414.29","369,096,414.29","Information Technology","6450267","KR7000660001","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"SBER","SBERBANK ROSSII","Equity","0.61","3.62","94,898,980.00","343,199,092.75","343,199,092.75","Financials","4767981","RU0009029540","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"LKOH","NK LUKOIL","Equity","0.57","88.37","3,678,569.00","325,066,171.87","325,066,171.87","Energy","B59SNS8","RU0009024277","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"INFY","INFOSYS LTD","Equity","0.54","10.19","30,017,148.00","305,915,066.08","305,915,066.08","Information Technology","6205122","INE009A01021","National Stock Exchange Of India","India","USD","INR","73.30"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Equity","0.52","7.02","42,125,082.00","295,714,060.35","295,714,060.35","Financials","B037HR3","BRITUBACNPR1","XBSP","Brazil","USD","BRL","4.46"
"ICICIBANK","ICICI BANK LTD","Equity","0.52","7.02","41,793,837.00","293,507,658.46","293,507,658.46","Financials","BSZ2BY7","INE090A01021","National Stock Exchange Of India","India","USD","INR","73.30"
"2317","HON HAI PRECISION INDUSTRY LTD","Equity","0.52","2.70","108,686,928.00","293,327,596.97","293,327,596.97","Information Technology","6438564","TW0002317005","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"VALE3","CIA VALE DO RIO DOCE SH","Equity","0.51","10.40","27,796,483.00","288,952,506.21","288,952,506.21","Materials","2196286","BRVALEACNOR0","XBSP","Brazil","USD","BRL","4.46"
"BIDU","BAIDU ADR REPTG INC CLASS A","Equity","0.50","117.97","2,390,197.00","281,971,540.09","281,971,540.09","Communication","B0FXT17","US0567521085","NASDAQ","China","USD","USD","1.00"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Equity","0.50","38.99","7,223,499.00","281,615,538.69","281,615,538.69","Information Technology","6773812","KR7005931001","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"3988","BANK OF CHINA LTD H","Equity","0.48","0.40","677,489,000.00","271,187,436.77","271,187,436.77","Financials","B154564","CNE1000001Z5","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"JD","JD.COM ADR REPRESENTING INC CLASS","Equity","0.47","41.46","6,410,670.00","265,786,378.20","265,786,378.20","Consumer Discretionary","BMM27D9","US47215P1066","NASDAQ","China","USD","USD","1.00"
"GAZP","GAZPROM","Equity","0.46","3.08","84,840,000.00","261,244,637.69","261,244,637.69","Energy","B59L4L7","RU0007661625","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"AMXL","AMERICA MOVIL L","Equity","0.44","0.84","293,424,572.00","247,229,316.40","247,229,316.40","Communication","2667470","MXP001691213","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"BBDC4","BANCO BRADESCO PREF SA","Equity","0.42","6.76","35,038,742.00","236,695,690.28","236,695,690.28","Financials","B00FM53","BRBBDCACNPR8","XBSP","Brazil","USD","BRL","4.46"
"883","CNOOC LTD","Equity","0.39","1.42","156,392,000.00","222,626,362.06","222,626,362.06","Energy","B00G0S5","HK0883013259","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"TCS","TATA CONSULTANCY SERVICES LTD","Equity","0.39","27.78","7,967,311.00","221,331,405.00","221,331,405.00","Information Technology","B01NPJ1","INE467B01029","National Stock Exchange Of India","India","USD","INR","73.30"
"PETR4","PETROLEO BRASILEIRO PREF SA","Equity","0.38","5.84","36,843,208.00","215,254,402.78","215,254,402.78","Energy","2684532","BRPETRACNPR6","XBSP","Brazil","USD","BRL","4.46"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Equity","0.37","11.13","18,628,228.00","207,265,801.20","207,265,801.20","Financials","BG36ZK1","BRB3SAACNOR6","XBSP","Brazil","USD","BRL","4.46"
"TAL","TAL EDUCATION GROUP ADR REPTG","Equity","0.35","58.31","3,437,150.00","200,420,216.50","200,420,216.50","Consumer Discretionary","B4MGD82","US8740801043","New York Stock Exchange Inc.","China","USD","USD","1.00"
"PETR3","PETROBRAS","Equity","0.35","6.17","32,378,379.00","199,698,440.71","199,698,440.71","Energy","2682365","BRPETRACNOR9","XBSP","Brazil","USD","BRL","4.46"
"QNBK","QATAR NATIONAL BANK","Equity","0.35","5.02","39,392,678.00","197,869,435.12","197,869,435.12","Financials","6148197","QA0006929895","Qatar Exchange","Qatar","USD","QAR","3.64"
"NTES","NETEASE ADR INC","Equity","0.35","319.47","618,314.00","197,532,773.58","197,532,773.58","Communication","2606440","US64110W1027","NASDAQ","China","USD","USD","1.00"
"BBCA","BANK CENTRAL ASIA","Equity","0.35","2.21","88,321,300.00","195,424,365.79","195,424,365.79","Financials","B01C1P6","ID1000109507","Indonesia Stock Exchange","Indonesia","USD","IDR","14,281.50"
"GMKN","GMK NORILSKIY NIKEL","Equity","0.32","316.58","570,315.00","180,548,360.45","180,548,360.45","Materials","B5B1TX2","RU0007288411","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"035420","NAVER CORP","Equity","0.32","146.41","1,221,170.00","178,787,542.88","178,787,542.88","Communication","6560393","KR7035420009","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Equity","0.31","29.56","5,961,289.00","176,213,742.79","176,213,742.79","Consumer Staples","6261674","INE030A01027","National Stock Exchange Of India","India","USD","INR","73.30"
"1120","AL RAJHI BANK","Equity","0.31","16.44","10,660,444.00","175,296,997.71","175,296,997.71","Financials","B12LZH9","SA0007879113","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"AXISBANK","AXIS BANK LTD","Equity","0.31","9.37","18,561,886.00","174,014,120.06","174,014,120.06","Financials","BPFJHC7","INE238A01034","National Stock Exchange Of India","India","USD","INR","73.30"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Equity","0.30","134.20","1,283,694.00","172,271,734.80","172,271,734.80","Consumer Discretionary","B1CN1G6","US6475811070","New York Stock Exchange Inc.","China","USD","USD","1.00"
"3968","CHINA MERCHANTS BANK LTD H","Equity","0.29","4.79","34,653,464.00","166,142,162.82","166,142,162.82","Financials","B1DYPZ5","CNE1000002M1","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2454","MEDIATEK INC","Equity","0.29","12.39","13,122,572.00","162,649,411.39","162,649,411.39","Information Technology","6372480","TW0002454006","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2628","CHINA LIFE INSURANCE LTD H","Equity","0.27","2.35","64,854,000.00","152,420,881.65","152,420,881.65","Financials","6718976","CNE1000002L3","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"BHARTIARTL","BHARTI AIRTEL LTD","Equity","0.27","7.11","21,137,374.00","150,187,173.90","150,187,173.90","Communication","6442327","INE397D01024","National Stock Exchange Of India","India","USD","INR","73.30"
"1810","XIAOMI CORP","Equity","0.26","1.64","90,911,800.00","149,540,228.33","149,540,228.33","Information Technology","BG0ZMJ9","KYG9830T1067","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Equity","0.25","0.29","502,085,500.00","144,141,060.11","144,141,060.11","Financials","6709099","ID1000118201","Indonesia Stock Exchange","Indonesia","USD","IDR","14,281.50"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","0.25","8.50","16,699,345.00","141,970,922.85","141,970,922.85","Consumer Staples","2242059","MXP320321310","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"YUMC","YUM CHINA HOLDINGS INC","Equity","0.25","44.77","3,138,824.00","140,525,150.48","140,525,150.48","Consumer Discretionary","BYW4289","US98850P1093","New York Stock Exchange Inc.","China","USD","USD","1.00"
"TATN","TATNEFT","Equity","0.25","10.43","13,437,977.00","140,209,867.58","140,209,867.58","Energy","B59BXN2","RU0009033591","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"2010","SAUDI BASIC INDUSTRIES","Equity","0.24","20.84","6,596,186.00","137,471,815.26","137,471,815.26","Materials","B1324D0","SA0007879121","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"WALMEX*","WALMART DE MEXICO V","Equity","0.24","3.01","45,453,396.00","136,948,833.95","136,948,833.95","Consumer Staples","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"3008","LARGAN PRECISION LTD","Equity","0.24","152.60","886,000.00","135,204,078.23","135,204,078.23","Information Technology","6451668","TW0003008009","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"ABEV3","AMBEV SA","Equity","0.24","3.31","40,861,699.00","135,083,026.24","135,083,026.24","Consumer Staples","BG7ZWY7","BRABEVACNOR1","XBSP","Brazil","USD","BRL","4.46"
"GFNORTEO","GPO FINANCE BANORTE","Equity","0.23","5.77","22,706,778.00","131,101,025.94","131,101,025.94","Financials","2421041","MXP370711014","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"051910","LG CHEM LTD","Equity","0.23","323.35","399,122.00","129,056,013.55","129,056,013.55","Materials","6346913","KR7051910008","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"1109","CHINA RESOURCES LAND LTD","Equity","0.23","4.74","26,935,777.00","127,753,830.03","127,753,830.03","Real Estate","6193766","KYG2108Y1052","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"PTT.R","PTT NON-VOTING DR PCL","Equity","0.23","1.29","98,729,100.00","127,579,223.88","127,579,223.88","Energy","6420408","TH0646010R18","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"006400","SAMSUNG SDI LTD","Equity","0.22","257.68","482,589.00","124,351,553.58","124,351,553.58","Information Technology","6771645","KR7006400006","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"TCOM","TRIP COM GROUP ADR LTD","Equity","0.22","29.94","4,102,732.00","122,835,796.08","122,835,796.08","Consumer Discretionary","BK1K3N2","US89677Q1076","NASDAQ","China","USD","USD","1.00"
"005380","HYUNDAI MOTOR","Equity","0.22","94.12","1,302,984.00","122,635,070.69","122,635,070.69","Consumer Discretionary","6451055","KR7005380001","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"1918","SUNAC CHINA HOLDINGS LTD","Equity","0.22","5.73","21,335,000.00","122,196,730.81","122,196,730.81","Real Estate","B4XRPN3","KYG8569A1067","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1180","NATIONAL COMMERCIAL BANK","Equity","0.21","11.49","10,568,939.00","121,401,116.92","121,401,116.92","Financials","BSHYYN1","SA13L050IE10","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"NVTK","PAO NOVATEK GDR","Equity","0.21","150.20","801,759.00","120,424,201.80","120,424,201.80","Energy","B0DK750","US6698881090","London Stock Exchange","Russian Federation","USD","USD","1.00"
"068270","CELLTRION INC","Equity","0.21","144.32","825,728.00","119,165,130.09","119,165,130.09","Health Care","B0C5YV1","KR7068270008","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"2891","CTBC FINANCIAL HOLDING LTD","Equity","0.21","0.75","156,867,599.00","117,861,072.12","117,861,072.12","Financials","6527666","TW0002891009","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"1301","FORMOSA PLASTICS CORP","Equity","0.21","3.05","38,326,800.00","116,973,807.35","116,973,807.35","Materials","6348544","TW0001301000","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"3690","MEITUAN DIANPING","Equity","0.20","12.72","9,076,900.00","115,483,823.28","115,483,823.28","Consumer Discretionary","BGJW376","KYG596691041","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2412","CHUNGHWA TELECOM LTD","Equity","0.20","3.60","31,936,000.00","114,919,801.42","114,919,801.42","Communication","6287841","TW0002412004","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Equity","0.20","0.52","218,148,200.00","113,713,908.23","113,713,908.23","Energy","6291819","CNE1000002Q2","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"PBBANK","PUBLIC BANK","Equity","0.20","4.22","26,793,260.00","113,122,143.73","113,122,143.73","Financials","B012W42","MYL1295OO004","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"CPALL.R","CP ALL NON-VOTING DR PCL","Equity","0.20","2.22","50,304,300.00","111,663,263.04","111,663,263.04","Consumer Staples","B08YDH1","TH0737010R15","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"005490","POSCO","Equity","0.20","160.63","686,706.00","110,304,987.87","110,304,987.87","Materials","6693233","KR7005490008","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"105560","KB FINANCIAL GROUP INC","Equity","0.19","31.87","3,458,055.00","110,224,960.68","110,224,960.68","Financials","B3DF0Y6","KR7105560007","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"SBK","STANDARD BANK GROUP","Equity","0.19","9.85","11,192,914.00","110,215,490.51","110,215,490.51","Financials","B030GJ7","ZAE000109815","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"BAP","CREDICORP LTD","Equity","0.19","187.30","586,738.00","109,896,027.40","109,896,027.40","Financials","2232878","BMG2519Y1084","New York Stock Exchange Inc.","Peru","USD","USD","1.00"
"055550","SHINHAN FINANCIAL GROUP LTD","Equity","0.19","26.81","4,090,714.00","109,685,755.63","109,685,755.63","Financials","6397502","KR7055550008","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"TLKM","TELEKOMUNIKASI INDONESIA","Equity","0.19","0.25","431,992,200.00","109,499,125.72","109,499,125.72","Communication","BD4T6W7","ID1000129000","Indonesia Stock Exchange","Indonesia","USD","IDR","14,281.50"
"688","CHINA OVERSEAS LAND & INVESTMENT L","Equity","0.19","3.44","31,636,000.00","108,921,166.10","108,921,166.10","Real Estate","6192150","HK0688002218","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2886","MEGA FINANCIAL HOLDING LTD","Equity","0.19","1.07","99,223,958.00","106,619,553.04","106,619,553.04","Financials","6444066","TW0002886009","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"600519","KWEICHOW MOUTAI LTD A","Equity","0.19","160.39","660,692.00","105,969,693.60","105,969,693.60","Consumer Staples","BP3R2F1","CNE0000018R8","Shanghai Stock Exchange","China","USD","CNY","6.98"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Equity","0.19","2.72","38,499,177.00","104,736,757.39","104,736,757.39","Financials","2458771","BRITSAACNPR7","XBSP","Brazil","USD","BRL","4.46"
"FSR","FIRSTRAND LTD","Equity","0.18","3.60","28,987,311.00","104,311,836.23","104,311,836.23","Financials","6606996","ZAE000066304","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Equity","0.18","2.40","42,695,369.00","102,424,501.65","102,424,501.65","Consumer Staples","6700393","TW0001216000","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Equity","0.18","16.40","6,233,600.00","102,215,154.13","102,215,154.13","Information Technology","B1YBT08","KYG8586D1097","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Equity","0.18","0.41","245,448,000.00","101,407,822.90","101,407,822.90","Financials","B60LZR6","CNE100000Q43","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"BAJFINANCE","BAJAJ FINANCE LTD","Equity","0.18","60.77","1,664,747.00","101,162,380.88","101,162,380.88","Financials","BD2N0P2","INE296A01024","National Stock Exchange Of India","India","USD","INR","73.30"
"2269","WUXI BIOLOGICS (CAYMAN) INCORPRATE","Equity","0.18","15.15","6,605,000.00","100,059,012.81","100,059,012.81","Health Care","BZ3C3R5","KYG970081090","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"012330","HYUNDAI MOBIS LTD","Equity","0.18","171.09","582,705.00","99,693,108.42","99,693,108.42","Consumer Discretionary","6449544","KR7012330007","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"1303","NAN YA PLASTICS CORP","Equity","0.17","2.26","42,887,440.00","96,740,735.28","96,740,735.28","Materials","6621580","TW0001303006","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"788","CHINA TOWER CORP LTD H","Equity","0.17","0.25","387,134,000.00","96,665,159.92","96,665,159.92","Communication","BFZ2PK0","CNE100003688","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Equity","0.17","2.35","40,984,000.00","96,215,735.89","96,215,735.89","Health Care","6191997","HK1093012172","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"OTP","OTP BANK","Equity","0.17","47.38","1,994,151.00","94,476,275.07","94,476,275.07","Financials","7320154","HU0000061726","Budapest Stock Exchange","Hungary","USD","HUF","300.15"
"2319","CHINA MENGNIU DAIRY LTD","Equity","0.17","3.66","25,644,000.00","93,902,027.16","93,902,027.16","Consumer Staples","B01B1L9","KYG210961051","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1177","SINO BIOPHARMACEUTICAL LTD","Equity","0.17","1.51","61,988,000.00","93,347,010.75","93,347,010.75","Health Care","B00XSF9","KYG8167W1380","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"FAB","FIRST ABU DHABI BANK","Equity","0.16","3.82","24,183,760.00","92,438,367.72","92,438,367.72","Financials","6624471","AEN000101016","Abu Dhabi Securities Exchange","United Arab Emirates","USD","AED","3.67"
"2007","COUNTRY GARDEN HOLDINGS LTD","Equity","0.16","1.37","66,496,733.00","91,235,623.11","91,235,623.11","Real Estate","B1VKYN6","KYG245241032","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2884","E.SUN FINANCIAL HOLDING LTD","Equity","0.16","0.96","94,523,557.00","90,703,309.95","90,703,309.95","Financials","6433912","TW0002884004","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"INR","INR CASH","Cash","0.16","1.36","6,513,205,716.00","88,859,861.75","88,859,861.75","Cash and/or Derivatives","-","-","-","India","USD","INR","73.30"
"2882","CATHAY FINANCIAL HOLDING LTD","Equity","0.16","1.33","66,568,872.00","88,276,450.39","88,276,450.39","Financials","6425663","TW0002882008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Equity","0.16","12.85","6,849,800.00","87,986,362.06","87,986,362.06","Consumer Discretionary","B0MP1B0","KYG8087W1015","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"LREN3","LOJAS RENNER SA","Equity","0.15","11.96","7,227,436.00","86,445,564.76","86,445,564.76","Consumer Discretionary","B0CGYD6","BRLRENACNOR1","XBSP","Brazil","USD","BRL","4.46"
"036570","NCSOFT CORP","Equity","0.15","568.06","149,571.00","84,965,037.23","84,965,037.23","Communication","6264189","KR7036570000","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","Equity","0.15","1,030.70","81,489.00","83,991,004.77","83,991,004.77","Consumer Staples","6344456","KR7051900009","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"2222","SAUDI ARABIAN OIL","Equity","0.15","8.81","9,498,557.00","83,664,865.64","83,664,865.64","Energy","BJTM270","SA14TG012N13","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"WEGE3","WEG SA","Equity","0.15","10.75","7,706,059.00","82,820,150.78","82,820,150.78","Industrials","2945422","BRWEGEACNOR0","XBSP","Brazil","USD","BRL","4.46"
"2020","ANTA SPORTS PRODUCTS LTD","Equity","0.15","8.25","10,026,000.00","82,716,596.95","82,716,596.95","Consumer Discretionary","B1YVKN8","KYG040111059","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"KRW","KRW CASH","Cash","0.15","0.08","98,242,892,839.00","82,190,992.09","82,190,992.09","Cash and/or Derivatives","-","-","-","Korea (South)","USD","KRW","1,195.30"
"BMRI","BANK MANDIRI (PERSERO)","Equity","0.14","0.50","162,289,900.00","81,818,245.98","81,818,245.98","Financials","6651048","ID1000095003","Indonesia Stock Exchange","Indonesia","USD","IDR","14,281.50"
"2881","FUBON FINANCIAL HOLDING LTD","Equity","0.14","1.47","54,761,000.00","80,555,031.15","80,555,031.15","Financials","6411673","TW0002881000","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"1326","FORMOSA CHEMICALS & FIBRE CORP","Equity","0.14","2.69","29,893,210.00","80,477,505.35","80,477,505.35","Materials","6348715","TW0001326007","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Equity","0.14","1.81","43,990,000.00","79,832,550.36","79,832,550.36","Consumer Discretionary","6531827","KYG3777B1032","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"TENAGA","TENAGA NASIONAL","Equity","0.14","2.97","26,853,300.00","79,797,040.29","79,797,040.29","Utilities","6904612","MYL5347OO009","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"MARUTI","MARUTI SUZUKI INDIA LTD","Equity","0.14","87.13","915,650.00","79,776,072.62","79,776,072.62","Consumer Discretionary","6633712","INE585B01010","National Stock Exchange Of India","India","USD","INR","73.30"
"914","ANHUI CONCH CEMENT LTD H","Equity","0.14","7.50","10,634,000.00","79,725,915.44","79,725,915.44","Materials","6080396","CNE1000001W2","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2688","ENN ENERGY HOLDINGS LTD","Equity","0.14","11.22","7,099,300.00","79,632,408.13","79,632,408.13","Utilities","6333937","KYG3066L1014","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"GMEXICOB","GRUPO MEXICO B","Equity","0.14","2.57","30,830,720.00","79,181,409.14","79,181,409.14","Materials","2643674","MXP370841019","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"7010","SAUDI TELECOM","Equity","0.14","22.41","3,522,228.00","78,945,518.58","78,945,518.58","Communication","B12M7Q5","SA0007879543","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"ITC","ITC LTD","Equity","0.14","2.64","29,787,195.00","78,778,235.97","78,778,235.97","Consumer Staples","B0JGGP5","INE154A01025","National Stock Exchange Of India","India","USD","INR","73.30"
"2308","DELTA ELECTRONICS INC","Equity","0.14","4.60","16,821,000.00","77,343,084.66","77,343,084.66","Information Technology","6260734","TW0002308004","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"MGLU3","MAGAZINE LUIZA SA","Equity","0.14","11.85","6,510,068.00","77,164,472.96","77,164,472.96","Consumer Discretionary","B4975P9","BRMGLUACNOR2","XBSP","Brazil","USD","BRL","4.46"
"BBAS3","BANCO DO BRASIL SA","Equity","0.14","10.27","7,488,313.00","76,869,096.95","76,869,096.95","Financials","2328595","BRBBASACNOR3","XBSP","Brazil","USD","BRL","4.46"
"2002","CHINA STEEL CORP","Equity","0.13","0.77","98,225,529.00","75,273,620.33","75,273,620.33","Materials","6190950","TW0002002003","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"MTN","MTN GROUP LTD","Equity","0.13","5.04","14,878,783.00","74,968,272.63","74,968,272.63","Communication","6563206","ZAE000042164","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Equity","0.13","3.25","22,935,400.00","74,537,467.02","74,537,467.02","Financials","B2Q5H56","CNE1000009Q7","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"3711","ASE TECHNOLOGY HOLDING LTD","Equity","0.13","2.42","30,477,222.00","73,621,383.90","73,621,383.90","Information Technology","BFXZDY1","TW0003711008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Equity","0.13","1.98","36,901,200.00","73,135,405.11","73,135,405.11","Industrials","6741206","TH0765010R16","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"960","LONGFOR GROUP HOLDINGS LTD","Equity","0.13","4.65","15,709,500.00","73,093,303.94","73,093,303.94","Real Estate","B56KLY9","KYG5635P1090","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"HCLTECH","HCL TECHNOLOGIES LTD","Equity","0.13","7.71","9,461,276.00","72,936,921.50","72,936,921.50","Information Technology","6294896","INE860A01027","National Stock Exchange Of India","India","USD","INR","73.30"
"857","PETROCHINA LTD H","Equity","0.13","0.40","182,462,000.00","72,566,777.78","72,566,777.78","Energy","6226576","CNE1000003W8","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
