Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"TCAP.R","THANACHART CAPITAL NON-VOTING DR P","Equity","0.01","1.66","5,021,200.00","8,359,378.47","8,359,378.47","Financials","6361994","TH0083010R14","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"M&MFIN","MAHINDRA AND MAHINDRA FINANCIAL SE","Equity","0.01","4.65","1,793,960.00","8,348,439.66","8,348,439.66","Financials","B8F8822","INE774D01024","National Stock Exchange Of India","India","USD","INR","73.30"
"SUNREIT","SUNWAY REAL ESTATE INVESTMENT TRUS","Equity","0.01","0.44","18,867,700.00","8,342,784.26","8,342,784.26","Real Estate","B62QFR9","MYL5176TO001","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"086900","MEDY-TOX INC","Equity","0.01","204.05","40,823.00","8,329,900.19","8,329,900.19","Health Care","B3L2NF1","KR7086900008","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"3050","SOUTHERN PROVINCE CEMENT","Equity","0.01","14.42","576,995.00","8,319,233.92","8,319,233.92","Materials","B131QN1","SA0007879501","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"MYTIL","MYTILINEOS SA","Equity","0.01","8.31","998,496.00","8,292,762.90","8,292,762.90","Industrials","5898664","GRS393503008","Athens Exchange S.A. Cash Market","Greece","USD","EUR","0.89"
"263750","PEARLABYSS CORP","Equity","0.01","146.91","56,363.00","8,280,216.51","8,280,216.51","Communication","BYX56S9","KR7263750002","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"839","CHINA EDUCATION GROUP HOLDINGS LTD","Equity","0.01","1.41","5,844,000.00","8,258,848.06","8,258,848.06","Consumer Discretionary","BF13433","KYG2163M1033","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1919","COSCO SHIPPING HOLDINGS LTD H","Equity","0.01","0.33","24,607,000.00","8,234,532.47","8,234,532.47","Industrials","B0B8Z18","CNE1000002J7","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"6818","CHINA EVERBRIGHT BANK LTD H","Equity","0.01","0.41","20,000,000.00","8,237,338.31","8,237,338.31","Financials","B5NRRJ0","CNE100001QW3","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"JINDALSTEL","JINDAL STEEL AND POWER LTD","Equity","0.01","2.19","3,754,854.00","8,229,711.72","8,229,711.72","Materials","6726816","INE749A01030","National Stock Exchange Of India","India","USD","INR","73.30"
"2027","TA CHEN STAINLESS PIPE LTD","Equity","0.01","1.03","7,966,596.00","8,228,583.48","8,228,583.48","Materials","6873109","TW0002027000","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"3376","SHIN ZU SHING LTD","Equity","0.01","4.65","1,769,000.00","8,222,287.01","8,222,287.01","Industrials","B02GHN7","TW0003376000","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"QAR","QAR CASH","Cash","0.01","27.46","29,945,033.00","8,223,833.29","8,223,833.29","Cash and/or Derivatives","-","-","-","Qatar","USD","QAR","3.64"
"600406","NARI TECHNOLOGY LTD A","Equity","0.01","3.02","2,718,702.00","8,219,673.31","8,219,673.31","Industrials","BP3R444","CNE000001G38","Shanghai Stock Exchange","China","USD","CNY","6.98"
"600383","GEMDALE CORP A","Equity","0.01","2.15","3,811,643.00","8,184,383.14","8,184,383.14","Real Estate","BP3R3Q9","CNE000001790","Shanghai Stock Exchange","China","USD","CNY","6.98"
"338","SINOPEC SHANGHAI PETROCHEMICAL LTD","Equity","0.01","0.26","31,319,000.00","8,182,968.02","8,182,968.02","Materials","6797458","CNE1000004C8","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"MPI","METRO PACIFIC INV CORP","Equity","0.01","0.07","125,722,800.00","8,185,158.87","8,185,158.87","Financials","B1L8838","PHY603051020","Philippine Stock Exchange Inc.","Philippines","USD","PHP","50.69"
"PLY","PLAY COMMUNICATIONS SA","Equity","0.01","8.00","1,020,848.00","8,168,908.55","8,168,908.55","Communication","BF0K963","LU1642887738","Warsaw Stock Exchange/Equities/Main Market","Poland","USD","PLN","3.84"
"2101","NAN KANG RUBBER TIRE CORP LTD","Equity","0.01","1.44","5,663,000.00","8,170,056.31","8,170,056.31","Consumer Discretionary","6621427","TW0002101003","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2352","QISDA CORP","Equity","0.01","0.63","12,988,000.00","8,157,258.52","8,157,258.52","Information Technology","6054465","TW0002352002","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"900932","SHANGHAI LUJIAZUI FINANCE & TRADE","Equity","0.01","0.82","9,901,004.00","8,148,526.29","8,148,526.29","Real Estate","6798666","CNE000000HH6","Shanghai Stock Exchange","China","USD","USD","1.00"
"023530","LOTTE SHOPPING LTD","Equity","0.01","81.23","100,127.00","8,133,800.47","8,133,800.47","Consumer Discretionary","B0WGPZ5","KR7023530009","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"631","SANY HEAVY EQUIPMENT INTERNATIONAL","Equity","0.01","0.65","12,517,000.00","8,135,768.07","8,135,768.07","Industrials","B56HH42","KYG781631059","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"145020","HUGEL INC","Equity","0.01","323.60","25,135.00","8,133,705.35","8,133,705.35","Health Care","BZ1G175","KR7145020004","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"GENP","GENTING PLANTATIONS","Equity","0.01","2.39","3,407,300.00","8,132,483.54","8,132,483.54","Consumer Staples","6057680","MYL2291OO002","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"601899","ZIJIN MINING GROUP LTD A","Equity","0.01","0.62","13,114,700.00","8,126,701.02","8,126,701.02","Materials","BP3R400","CNE100000B24","Shanghai Stock Exchange","China","USD","CNY","6.98"
"1477","MAKALOT INDUSTRIAL LTD","Equity","0.01","4.91","1,649,568.00","8,106,863.03","8,106,863.03","Consumer Discretionary","6580432","TW0001477008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"363","SHANGHAI INDUSTRIAL HOLDINGS LTD","Equity","0.01","1.83","4,428,000.00","8,081,477.57","8,081,477.57","Industrials","6810010","HK0363006039","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"ASTRAL","ASTRAL POLY TECHNIK LTD","Equity","0.01","15.65","515,483.00","8,069,377.46","8,069,377.46","Industrials","BR2NB24","INE006I01046","National Stock Exchange Of India","India","USD","INR","73.30"
"AGRO","ADECOAGRO SA","Equity","0.01","7.08","1,138,665.00","8,061,748.20","8,061,748.20","Consumer Staples","B65BNQ6","LU0584671464","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"BCP.R","BANGCHAK CORPORATION ORS NON-VOTIN","Equity","0.01","0.76","10,572,400.00","8,046,221.66","8,046,221.66","Energy","6360032","TH0420010R18","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"SWB","SUNWAY BHD","Equity","0.01","0.41","19,631,386.00","8,027,097.09","8,027,097.09","Real Estate","B6VGS93","MYL5211OO007","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"VNET","21VIANET GROUP ADR REPRESENTING SI","Equity","0.01","15.25","525,948.00","8,020,707.00","8,020,707.00","Information Technology","B3Q0VS9","US90138A1034","NASDAQ","China","USD","USD","1.00"
"020150","ILJIN MATERIALS","Equity","0.01","40.16","199,779.00","8,022,581.78","8,022,581.78","Information Technology","B45LHQ0","KR7020150009","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"011780","KUMHO PETRO CHEMICAL LTD","Equity","0.01","48.94","163,750.00","8,014,201.46","8,014,201.46","Materials","6499323","KR7011780004","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"601009","BANK OF NANJING LTD A","Equity","0.01","1.13","7,064,321.00","8,011,846.57","8,011,846.57","Financials","BP3R529","CNE100000627","Shanghai Stock Exchange","China","USD","CNY","6.98"
"1707","GRAPE KING BIO LTD","Equity","0.01","7.41","1,080,000.00","8,006,530.50","8,006,530.50","Consumer Staples","6381691","TW0001707008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"2542","HIGHWEALTH CONSTRUCTION CORP","Equity","0.01","1.48","5,394,230.00","8,006,961.87","8,006,961.87","Real Estate","6154075","TW0002542008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","Equity","0.01","13.39","597,400.00","7,998,829.27","7,998,829.27","Utilities","B0YBZJ2","BRCSMGACNOR5","XBSP","Brazil","USD","BRL","4.46"
"119","POLY PPTY GROUP LTD","Equity","0.01","0.38","20,853,000.00","7,998,190.36","7,998,190.36","Real Estate","6220987","HK0119000674","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"ECOR3","ECORODOVIAS INFRAESTRUTURA E LOGIS","Equity","0.01","3.59","2,227,000.00","7,986,482.76","7,986,482.76","Industrials","B5720R0","BRECORACNOR8","XBSP","Brazil","USD","BRL","4.46"
"ACES","ACE HARDWARE INDONESIA","Equity","0.01","0.10","77,872,200.00","7,988,150.61","7,988,150.61","Consumer Discretionary","B7JW351","ID1000125503","Indonesia Stock Exchange","Indonesia","USD","IDR","14,281.50"
"8069","E INK HOLDINGS INC","Equity","0.01","1.02","7,834,000.00","7,974,167.86","7,974,167.86","Information Technology","6744283","TW0008069006","Gretai Securities Market","Taiwan","USD","TWD","30.01"
"ANDINA.B","EMBOTELLADORA ANDINA SERIES B SA","Equity","0.01","2.50","3,183,834.00","7,968,586.26","7,968,586.26","Consumer Staples","2311454","CLP3697S1034","Santiago Stock Exchange","Chile","USD","CLP","804.69"
"NOAH","NOAH HOLDINGS ADR REPRESENTING .5","Equity","0.01","28.20","282,701.00","7,972,168.20","7,972,168.20","Financials","B5MDP39","US65487X1028","New York Stock Exchange Inc.","China","USD","USD","1.00"
"DTAC.R","TOTAL ACCESS COMMUNICATION NON-VOT","Equity","0.01","1.17","6,794,000.00","7,971,396.86","7,971,396.86","Communication","B1YWK08","TH0554010R14","Stock Exchange Of Thailand","Thailand","USD","THB","31.54"
"AGUAS.A","AGUAS ANDINAS SA","Equity","0.01","0.34","23,699,526.00","7,951,971.59","7,951,971.59","Utilities","2311238","CL0000000035","Santiago Stock Exchange","Chile","USD","CLP","804.69"
"272","SHUI ON LAND LTD","Equity","0.01","0.20","39,364,666.00","7,954,504.87","7,954,504.87","Real Estate","B16NHT7","KYG811511131","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1810","SEERA GROUP HOLDING","Equity","0.01","5.03","1,579,618.00","7,948,187.15","7,948,187.15","Consumer Discretionary","B6WTLK3","SA132GSGS910","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"2439","MERRY ELECTRONICS LTD","Equity","0.01","4.80","1,652,051.00","7,926,410.02","7,926,410.02","Information Technology","6129749","TW0002439007","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"TRNFP","TRANSNEFT PREF","Equity","0.01","2,317.70","3,409.00","7,901,038.88","7,901,038.88","Energy","B59NHY7","RU0009091573","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"ATCO","ATLAS CORP","Equity","0.01","10.26","769,795.00","7,898,096.70","7,898,096.70","Industrials","BLH9147","MHY0436Q1098","New York Stock Exchange Inc.","China","USD","USD","1.00"
"INARI","INARI AMERTRON","Equity","0.01","0.35","22,746,600.00","7,894,933.08","7,894,933.08","Information Technology","B54JP79","MYQ0166OO007","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"743","ASIA CEMENT CHINA CORP","Equity","0.01","1.36","5,803,500.00","7,887,889.83","7,887,889.83","Materials","B2R8HK9","KYG0539C1069","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"AFE","AECI LTD","Equity","0.01","6.82","1,150,448.00","7,844,032.06","7,844,032.06","Materials","6009205","ZAE000000220","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"GCC*","GRUPO CEMENTOS","Equity","0.01","5.26","1,488,357.00","7,826,898.44","7,826,898.44","Materials","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"300347","HANGZHOU TIGERMED CONSULTING LTD A","Equity","0.01","11.36","688,274.00","7,817,812.69","7,817,812.69","Health Care","BD5CCK5","CNE100001KV8","Shenzhen Stock Exchange","China","USD","CNY","6.98"
"INDHOTEL","INDIAN HOTELS LTD","Equity","0.01","1.81","4,308,071.00","7,817,093.94","7,817,093.94","Consumer Discretionary","B1FRT61","INE053A01029","National Stock Exchange Of India","India","USD","INR","73.30"
"3040","QASSIM CEMENT","Equity","0.01","17.62","443,106.00","7,805,902.30","7,805,902.30","Materials","B136WG1","SA0007879493","Saudi Stock Exchange","Saudi Arabia","USD","SAR","3.75"
"535","GEMDALE PROPERTIES AND INVESTMENT","Equity","0.01","0.18","44,204,000.00","7,794,514.45","7,794,514.45","Real Estate","B9M3N77","BMG3911S1035","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"SERBADK","SERBA DINAMIK HOLDINGS","Equity","0.01","0.53","14,752,320.00","7,785,605.71","7,785,605.71","Energy","BYVNW76","MYL5279OO004","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.01","4.85","1,603,105.00","7,772,478.71","7,772,478.71","Consumer Discretionary","2306814","MXP369181377","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"697","SHOUGANG CONCORD INTERNATIONAL ENT","Equity","0.01","0.04","177,588,000.00","7,771,403.57","7,771,403.57","Industrials","6907774","HK0697002241","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"078340","COM2US CORP","Equity","0.01","83.24","93,256.00","7,762,881.29","7,762,881.29","Communication","B232R27","KR7078340007","Korea Exchange (Kosdaq)","Korea (South)","USD","KRW","1,195.30"
"601877","ZHEJIANG CHINT ELECTRICS LTD A","Equity","0.01","3.91","1,983,673.00","7,746,880.18","7,746,880.18","Industrials","BP3R5K7","CNE100000KD8","Shanghai Stock Exchange","China","USD","CNY","6.98"
"AFLT","AEROFLOT ROSSIYSKIYE AVIALINII","Equity","0.01","1.43","5,401,857.00","7,747,219.58","7,747,219.58","Industrials","B58X588","RU0009062285","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"2836","BANK OF KAOHSIUNG LTD","Equity","0.01","0.32","23,890,836.00","7,745,238.21","7,745,238.21","Financials","6116462","TW0002836004","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"DANA","DANA GAS","Equity","0.01","0.23","33,449,239.00","7,740,455.24","7,740,455.24","Energy","B0VR4L8","AED000701014","Abu Dhabi Securities Exchange","United Arab Emirates","USD","AED","3.67"
"PFG","PIONEER FOOD GROUP LTD","Equity","0.01","7.15","1,079,784.00","7,721,826.17","7,721,826.17","Consumer Staples","B2QZG93","ZAE000118279","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"601088","CHINA SHENHUA ENERGY LTD A","Equity","0.01","2.42","3,184,456.00","7,695,835.59","7,695,835.59","Energy","BP3R262","CNE100000767","Shanghai Stock Exchange","China","USD","CNY","6.98"
"2548","HUAKU DEVELOPMENT LTD","Equity","0.01","2.88","2,667,000.00","7,686,519.18","7,686,519.18","Real Estate","6275459","TW0002548005","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"AEONCR","AEON CREDIT SERVICE (M)","Equity","0.01","3.23","2,374,600.00","7,677,299.42","7,677,299.42","Financials","B29H4P8","MYL5139OO000","Bursa Malaysia","Malaysia","USD","MYR","4.21"
"3331","VINDA INTERNATIONAL LTD","Equity","0.01","2.58","2,972,000.00","7,669,554.03","7,669,554.03","Consumer Staples","B1Z7648","KYG9361V1086","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2903","FAR EASTERN DEPARTMENT STORES LTD","Equity","0.01","0.80","9,562,167.00","7,662,350.19","7,662,350.19","Consumer Discretionary","6331373","TW0002903002","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
